Name,Url,Authority,Started On,Finished On,License Number
Google cloud computing ,https://www.credly.com/badges/c7355108-1de2-496d-a0fa-5659cfc0cbd6/public_url,Google Cloud Skills Boost,Oct 2024,,
Cloud storage ,https://www.credly.com/badges/0393070f-186e-4232-8cd9-d6993a14cb64/public_url,Google Cloud Skills Boost,Oct 2024,,
API gateway,https://www.credly.com/badges/f2ad4719-baac-402a-96c5-f3eebeb569ec/public_url,Google Cloud Skills Boost,Oct 2024,,
App engine,https://www.credly.com/badges/e3e5f7cc-6571-427a-a044-90607585f969/public_url,Google Cloud Skills Boost,Oct 2024,,
Analysis of image with cloud vision API,https://www.credly.com/badges/20852421-8269-4d8c-8d6f-0df13bfa491e/public_url,Google Cloud Skills Boost,Oct 2024,,
Dataplex,https://www.credly.com/badges/caf12ee6-49e4-4730-830c-b5fed97be708/public_url,Google Cloud Skills Boost,Oct 2024,,
Pub/sub,https://www.credly.com/badges/57dadde9-191c-4f55-b7cf-d5b65ccf151e/public_url,Google Cloud Skills Boost,Oct 2024,,
Student Ambassador ,,Government Of India,Oct 2024,,
50+ Days Badge,,LeetCode,Sep 2025,,Manas-Ranjan-Dikshit
Top Innovation & Start-up Funding,,Government of Odisha - Higher Education Department,Sep 2025,,
Java 4⭐,,HackerRank,,,
Illuminate Workshop 2025,,"Indian Institute of Technology, Bombay",Oct 2025,,
100+ Days Badge,,LeetCode,Dec 2025,,
Core Team Recognition,https://www.credly.com/earner/earned/badge/b9a1243b-e815-48f3-907c-0972f6747de5,Amazon Web Services (AWS),Dec 2025,,
